"rank","couple","reserve","auction_result","profit","total_winnings","auction_order"
1,"darren_deanne",1455000,2290000,835000,935000,3
2,"josh_charlotte",1390000,2200000,810000,810000,4
3,"tim_anastasia",1420000,2175000,755000,755000,1
4,"ayden_jess",1335000,2e+06,665000,665000,2
