"rank","couple","reserve","auction_result","profit","total_winnings","auction_order"
1,"phil_amity",1375000,1670000,295000,395000,4
2,"josh_jenna",1375000,1650000,275000,275000,1
3,"dani_dan",1355000,1575000,220000,220000,3
4,"mark_duncan",1345000,1370000,25000,25000,2
