"rank","couple","reserve","auction_result","profit","total_winnings","auction_order"
1,"steve_chantelle",1834000,2470000,636000,736000,4
2,"alisa_lysandra",1759000,2375000,616000,616000,3
3,"kyal_kara",1872000,2440000,567250,567250,2
4,"brad_dale",1802000,2310000,507250,507250,1
