"rank","couple","reserve","auction_result","profit","total_winnings","auction_order"
1,"josh_elyse",2620000,3067000,447000,547000,1
2,"jason_sarah",2620000,3007000,387000,387000,2
3,"ronnie_georgia",2620000,2781000,161000,161000,4
4,"sticks_wombat",2520000,2650000,130000,130000,3
5,"clint_hannah",2520000,2615000,95000,95000,5
