"rank","couple","reserve","auction_result","profit","total_winnings","auction_order"
NA,"tess_luke",2990000,3620000,630000,730000,2
NA,"el'ise_matt",2990000,3450000,460000,460000,3
NA,"andy_deb",2990000,3420000,430000,430000,4
NA,"jesse_mel",2990000,3378000,388000,388000,5
NA,"mitch_mark",2990000,3374000,384000,384000,1
