"rank","couple","reserve","auction_result","profit","total_winnings","auction_order"
NA,"mitch_mark",3400000,4044444.44,644444.44,744444.44,2
NA,"josh_luke",3400000,3930000,530000,530000,4
NA,"tanya_vito",3400000,3800000.01,400000.01,400000.01,3
NA,"kirsty_jesse",4100000,4401523.67,301523.67,301523.67,5
NA,"ronnie_georgia",3400000,3696000,296000,296000,1
