"rank","couple","reserve","auction_result","profit","total_winnings","auction_order"
1,"william_karlie",1885000,2600000,715000,815000,1
2,"julia_sasha",1930000,2590000,660000,660000,2
3,"dan_carleen",1775000,2300000,525000,525000,3
4,"andy_ben",1740000,2250000,510000,510000,5
5,"chris_kim",1880000,2305000,425000,425000,4
