"rank","couple","reserve","auction_result","amount_sold_for_after_auction","profit","total_profit","auction_order"
1,"steph_gian",3350000,5e+06,NA,1650000,1750000,1
2,"eliza_liberty",3250000,4300000,NA,1050000,1050000,2
3,"leah_ash",2970000,NA,3125000,155000,155000,5
4,"kyle_leslie",2970000,3100000,NA,130000,130000,4
5,"kristy_brett",2970000,3035000,NA,65000,65000,3
