"rank","couple","reserve","auction_result","profit","total_winnings","auction_order"
1,"alisa_lysandra",1140000,1435000,295000,395000,1
2,"madi_jarrod",1310000,1601000,291000,291000,3
3,"matt_kim",1205000,1455000,250000,250000,5
4,"bec_george",1265000,1507000,242000,242000,4
5,"johnno_trixie",1400000,1605000,205000,205000,2
