"rank","couple","reserve","auction_result","profit","total_winnings","auction_order"
1,"dean_shay",1645000,2300000,655000,755000,3
2,"luke_ebony",1560000,2200000,640000,640000,5
3,"kingi_caro",1330000,1735000,405000,405000,1
4,"andrew_whitney",1400000,1790000,390000,390000,4
5,"suzi_voni",1480000,1829000,349000,349000,2
