"rank","couple","reserve","auction_result","profit","total_winnings","auction_order"
1,"shannon_simon",1565000,1900000,335000,435000,1
2,"chris_jenna",1500000,1810000,310000,310000,2
3,"karstan_maxine",1670000,1710000,40000,40000,3
NA,"michael_carlene",1380000,1390000,10000,10000,5
NA,"darren_deanne",1370000,1380000,10000,10000,4
